Rank,Title,Theaters,Total Gross,Release Date,Distributor
1,Barbie,"4,337","$594,254,460 ",7/21/2023 0:00,Warner Bros.
2,The Super Mario Bros. Movie,"4,371","$574,759,600 ",4/5/2023 0:00,Universal Pictures
3,Spider-Man: Across the Spider-Verse,"4,332","$381,178,195 ",6/2/2023 0:00,Columbia Pictures
4,Guardians of the Galaxy Vol. 3,"4,450","$358,995,815 ",5/5/2023 0:00,Walt Disney Studios Motion Pictures
5,Oppenheimer,"3,761","$300,144,670 ",7/21/2023 0:00,Universal Pictures
6,The Little Mermaid,"4,320","$297,895,447 ",5/26/2023 0:00,Walt Disney Studios Motion Pictures
7,Avatar: The Way of Water,"4,340","$684,075,767 ",12/16/2023 0:00,20th Century Studios
8,Ant-Man and the Wasp: Quantumania,"4,345","$214,504,909 ",2/17/2023 0:00,Walt Disney Studios Motion Pictures
9,John Wick: Chapter 4,"3,855","$187,131,806 ",3/24/2023 0:00,Lionsgate
10,Sound of Freedom,"3,411","$180,587,629 ",7/4/2023 0:00,Angel Studios
11,Indiana Jones and the Dial of Destiny,"4,600","$174,116,627 ",6/30/2023 0:00,Walt Disney Studios Motion Pictures
12,Mission: Impossible - Dead Reckoning Part One,"4,327","$168,248,955 ",7/12/2023 0:00,Paramount Pictures
13,Transformers: Rise of the Beasts,"3,680","$157,066,392 ",6/9/2023 0:00,Paramount Pictures
14,Creed III,"4,007","$156,248,615 ",3/3/2023 0:00,United Artists Releasing
15,Elemental,"4,035","$151,692,473 ",6/16/2023 0:00,Walt Disney Studios Motion Pictures
16,Fast X,"4,088","$145,960,660 ",5/19/2023 0:00,Universal Pictures
17,Puss in Boots: The Last Wish,"4,121","$185,535,345 ",12/21/2023 0:00,Universal Pictures
18,Scream VI,"3,676","$108,161,389 ",3/10/2023 0:00,Paramount Pictures
19,The Flash,"4,256","$108,133,313 ",6/16/2023 0:00,Warner Bros.
20,Teenage Mutant Ninja Turtles: Mutant Mayhem,"3,950","$99,847,538 ",8/2/2023 0:00,Paramount Pictures
21,M3GAN,"3,628","$95,043,350 ",1/6/2023 0:00,Universal Pictures
22,Dungeons & Dragons: Honor Among Thieves,"3,856","$93,277,026 ",3/31/2023 0:00,Paramount Pictures
23,Insidious: The Red Door,"3,188","$82,042,800 ",7/7/2023 0:00,Screen Gems
24,Meg 2: The Trench,"3,604","$74,469,810 ",8/4/2023 0:00,Warner Bros.
25,Evil Dead Rise,"3,417","$67,233,054 ",4/21/2023 0:00,Warner Bros.
26,Cocaine Bear,"3,571","$64,388,510 ",2/24/2023 0:00,Universal Pictures
27,A Man Called Otto,"3,957","$64,267,657 ",12/30/2023 0:00,Columbia Pictures
28,Haunted Mansion,"3,740","$62,291,150 ",7/28/2023 0:00,Walt Disney Studios Motion Pictures
29,Shazam! Fury of the Gods,"4,071","$57,638,006 ",3/17/2023 0:00,Warner Bros.
30,Air,"3,507","$52,460,106 ",4/5/2023 0:00,-
31,Jesus Revolution,"2,575","$52,102,987 ",2/24/2023 0:00,Lionsgate
32,No Hard Feelings,"3,208","$50,452,282 ",6/23/2023 0:00,Sony Pictures Entertainment (SPE)
33,Blue Beetle,"3,871","$46,566,539 ",8/18/2023 0:00,Warner Bros.
34,The Boogeyman,"3,205","$43,244,282 ",6/2/2023 0:00,Walt Disney Studios Motion Pictures
35,Talk to Me,"2,379","$41,066,389 ",7/28/2023 0:00,A24
36,80 for Brady,"3,939","$39,330,588 ",2/3/2023 0:00,Paramount Pictures
37,Knock at the Cabin,"3,657","$35,397,980 ",2/3/2023 0:00,Universal Pictures
38,Missing,"3,025","$32,502,025 ",1/20/2023 0:00,Sony Pictures Entertainment (SPE)
39,Plane,"3,060","$32,111,181 ",1/13/2023 0:00,Lionsgate
40,65,"3,405","$32,062,904 ",3/10/2023 0:00,Sony Pictures Entertainment (SPE)
41,Asteroid City,"1,901","$28,049,165 ",6/16/2023 0:00,Focus Features
42,Magic Mike's Last Dance,"3,034","$26,005,156 ",2/10/2023 0:00,Warner Bros.
43,"Are You There God? It's Me, Margaret.","3,343","$20,372,406 ",4/28/2023 0:00,Lionsgate
44,The Pope's Exorcist,"3,178","$20,009,380 ",4/14/2023 0:00,Screen Gems
45,Gran Turismo,"3,856","$18,541,753 ",8/25/2023 0:00,Sony Pictures Entertainment (SPE)
46,The Blackening,"1,775","$17,707,207 ",6/16/2023 0:00,Lionsgate
47,Book Club: The Next Chapter,"3,513","$17,556,340 ",5/12/2023 0:00,Focus Features
48,Pathaan,697,"$17,487,476 ",1/25/2023 0:00,Yash Raj Films USA Inc.
49,Black Panther: Wakanda Forever,"4,396","$453,829,060 ",11/11/2023 0:00,Walt Disney Studios Motion Pictures
50,Renfield,"3,378","$17,152,625 ",4/14/2023 0:00,Universal Pictures
51,The Covenant,"2,631","$16,938,039 ",4/21/2023 0:00,Metro-Goldwyn-Mayer (MGM)
52,Strays,"3,232","$16,840,900 ",8/18/2023 0:00,Universal Pictures
53,Champions,"3,039","$16,271,910 ",3/10/2023 0:00,Focus Features
54,"Ruby Gillman, Teenage Kraken","3,408","$15,753,600 ",6/30/2023 0:00,DreamWorks
55,Titanic25 Year Anniversary,"2,464","$15,033,795 ",2/10/2023 0:00,Paramount Pictures
56,The Last Voyage of the Demeter,"2,715","$13,309,285 ",8/11/2023 0:00,Universal Pictures
57,Joy Ride,"2,820","$12,897,789 ",7/7/2023 0:00,Lionsgate
58,The Whale,"1,721","$17,463,630 ",12/9/2023 0:00,A24
59,About My Father,"2,464","$12,089,391 ",5/26/2023 0:00,Lionsgate
60,His Only Son,"1,930","$12,084,084 ",3/31/2023 0:00,Angel Studios
61,Suzume,"2,170","$10,760,901 ",4/14/2023 0:00,Crunchyroll
62,Past Lives,906,"$10,724,951 ",6/2/2023 0:00,A24
63,The Machine,"2,409","$10,458,331 ",5/26/2023 0:00,Sony Pictures Entertainment (SPE)
